Temperature,Groupsize,Replicate,90_speed,90_acc,latency
25,16,5,1.2119457612624132,46.91348699005685,587.25
25,16,6,1.0105283319018499,30.392114735105615,584.4
25,16,7,1.1073199438821217,38.52022654743516,583.4
25,16,8,1.0285609135274265,29.372258067895423,583.0
25,16,9,0.7264069317202305,24.939932285545417,584.25
25,32,1,1.2832870632548037,35.20853730288587,571.2
29,1,1,2.0960413233182673,61.892873831316635,nan
29,1,2,1.2622798374729047,36.37899652325795,588.3333333333334
29,1,3,1.017862450557756,22.579096988951864,587.0
29,1,4,0.49994142025275456,35.24137484624964,589.0
29,1,5,1.31557027999915,30.536676549999218,582.0
29,1,6,1.7963767868500096,62.433467840102004,593.0
29,1,7,1.1579297600479668,36.6013586102797,586.0
29,1,8,2.384669255923925,58.84997344505235,nan
29,2,1,1.2172693333929119,39.50621539544866,nan
29,2,2,1.7150867111119987,35.24354267460341,592.0
29,2,3,3.5942329493895597,39.72769361693708,578.0
29,2,4,3.0522050408702692,51.24701759040585,599.0
29,2,5,2.6166953356412543,39.861799043691306,nan
29,2,6,1.227862715032312,30.109787000828923,595.0
29,2,7,0.8509801858740247,28.879506213194848,nan
29,2,9,1.1434659219428367,31.34261639427628,555.0
29,2,10,1.6814157956215157,32.997337521973144,598.0
29,4,1,1.2691436832034437,35.45386488063527,593.0
29,4,2,1.545142431286573,31.41304343305488,582.5
29,4,3,1.0699039462327575,30.637813581027917,584.8
29,4,4,1.0152025463057774,31.615185390503427,594.0
29,4,5,2.085529124948632,37.394507349391816,587.4
29,4,6,0.8338217828972476,28.310201055042356,nan
29,4,7,2.3535907212708724,39.33586543544583,599.0
29,4,8,1.1463837090880038,30.375282725697218,591.0
29,8,1,1.1120459539608956,30.994223700107668,588.2
29,8,2,0.7983326971968014,28.412680790381664,600.0
29,8,3,1.2166977990639973,31.09007149479745,589.5
29,8,4,0.7332275150426322,25.68308324214869,591.6
29,8,5,0.8997711322192582,27.49685110176594,nan
29,8,6,1.1009042603535308,29.517077706852216,590.5
29,8,7,1.736858880399967,43.33699659559976,nan
29,16,1,1.9535145861100007,37.90009856259266,613.3333333333334
29,16,2,1.2990165917104224,33.044296103381704,586.2
29,16,3,0.8823312974999119,30.668578600893902,584.75
29,16,4,1.2592173247206397,31.70942876117433,585.4
29,16,5,1.1095719130992423,32.32081830546248,575.8
29,16,6,0.8826584121709711,36.143863224088165,585.2
29,16,7,1.5024122959831248,41.022662699288645,597.3333333333334
